Code       Position   
int        (-1, -1)   
           (-1, -1)   
id         (6, 0)     
\ n        (-1, -1)   
int        (-1, -1)   
           (-1, -1)   
\ n        (-1, -1)   
int        (-1, -1)   
           (-1, -1)   
id         (9, 0)     
\ n        (-1, -1)   
\ n        (-1, -1)   
id         (8, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
const      (8, 1)     
\ n        (-1, -1)   
id         (9, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
const      (9, 1)     
\ n        (-1, -1)   
\ n        (-1, -1)   
if         (-1, -1)   
           (-1, -1)   
id         (8, 0)     
           (-1, -1)   
>          (-1, -1)   
           (-1, -1)   
id         (9, 0)     
:          (-1, -1)   
\ n        (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
id         (6, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
id         (8, 0)     
\ n        (-1, -1)   
else       (-1, -1)   
:          (-1, -1)   
\ n        (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
id         (6, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
id         (9, 0)     
