INDEX | VALUE                               | PARENT | SIBLING
1     | program                             | 0      | 0
2     | declaration_list                    | 1      | 0
3     | statement_list                      | 1      | 2
4     | declaration                         | 2      | 0
5     | declaration_list                    | 2      | 4
6     | built_in_type                       | 4      | 0
7     | identifier                          | 4      | 6
8     | equal_expression                    | 4      | 7
9     | ;                                   | 4      | 8
10    | int                                 | 6      | 0
11    | =                                   | 8      | 0
12    | expression                          | 8      | 11
13    | term                                | 12     | 0
14    | sign_and_expression                 | 12     | 13
15    | constant                            | 13     | 0
16    | declaration                         | 14     | 0
17    | declaration_list                    | 14     | 16
18    | built_in_type                       | 16     | 0
19    | identifier                          | 16     | 18
20    | equal_expression                    | 16     | 19
21    | ;                                   | 16     | 20
22    | int                                 | 18     | 0
23    | =                                   | 20     | 0
24    | expression                          | 20     | 23
25    | term                                | 24     | 0
26    | sign_and_expression                 | 24     | 25
27    | constant                            | 25     | 0
28    | declaration                         | 26     | 0
29    | declaration_list                    | 26     | 28
30    | built_in_type                       | 28     | 0
31    | identifier                          | 28     | 30
32    | equal_expression                    | 28     | 31
33    | ;                                   | 28     | 32
34    | int                                 | 30     | 0
35    | =                                   | 32     | 0
36    | expression                          | 32     | 35
37    | term                                | 36     | 0
38    | sign_and_expression                 | 36     | 37
39    | constant                            | 37     | 0
40    | declaration                         | 38     | 0
41    | declaration_list                    | 38     | 40
42    | built_in_type                       | 40     | 0
43    | identifier                          | 40     | 42
44    | equal_expression                    | 40     | 43
45    | ;                                   | 40     | 44
46    | int                                 | 42     | 0
47    | =                                   | 44     | 0
48    | expression                          | 44     | 47
49    | term                                | 48     | 0
50    | sign_and_expression                 | 48     | 49
51    | constant                            | 49     | 0
52    | statement                           | 50     | 0
53    | statement_list                      | 50     | 52
54    | compound_statement                  | 52     | 0
55    | if_statement                        | 54     | 0
56    | if                                  | 55     | 0
57    | (                                   | 55     | 56
58    | condition                           | 55     | 57
59    | )                                   | 55     | 58
60    | {                                   | 55     | 59
61    | statement_list                      | 55     | 60
62    | }                                   | 55     | 61
63    | else_statement                      | 55     | 62
64    | expression                          | 58     | 0
65    | relation                            | 58     | 64
66    | expression                          | 58     | 65
67    | term                                | 64     | 0
68    | sign_and_expression                 | 64     | 67
69    | identifier                          | 67     | 0
70    | >=                                  | 68     | 0
71    | term                                | 65     | 0
72    | sign_and_expression                 | 65     | 71
73    | identifier                          | 71     | 0
74    | statement                           | 72     | 0
75    | statement_list                      | 72     | 74
76    | simple_statement                    | 74     | 0
77    | assignment_stmt                     | 76     | 0
78    | identifier                          | 77     | 0
79    | =                                   | 77     | 78
80    | expression                          | 77     | 79
81    | ;                                   | 77     | 80
82    | term                                | 80     | 0
83    | sign_and_expression                 | 80     | 82
84    | identifier                          | 82     | 0
85    | else                                | 83     | 0
86    | {                                   | 83     | 85
87    | statement_list                      | 83     | 86
88    | }                                   | 83     | 87
89    | statement                           | 87     | 0
90    | statement_list                      | 87     | 89
91    | simple_statement                    | 89     | 0
92    | assignment_stmt                     | 91     | 0
93    | identifier                          | 92     | 0
94    | =                                   | 92     | 93
95    | expression                          | 92     | 94
96    | ;                                   | 92     | 95
97    | term                                | 95     | 0
98    | sign_and_expression                 | 95     | 97
99    | identifier                          | 97     | 0
100   | statement                           | 98     | 0
101   | statement_list                      | 98     | 100
102   | compound_statement                  | 100    | 0
103   | if_statement                        | 102    | 0
104   | if                                  | 103    | 0
105   | (                                   | 103    | 104
106   | condition                           | 103    | 105
107   | )                                   | 103    | 106
108   | {                                   | 103    | 107
109   | statement_list                      | 103    | 108
110   | }                                   | 103    | 109
111   | else_statement                      | 103    | 110
112   | expression                          | 106    | 0
113   | relation                            | 106    | 112
114   | expression                          | 106    | 113
115   | term                                | 112    | 0
116   | sign_and_expression                 | 112    | 115
117   | identifier                          | 115    | 0
118   | >=                                  | 116    | 0
119   | term                                | 113    | 0
120   | sign_and_expression                 | 113    | 119
121   | identifier                          | 119    | 0
122   | statement                           | 120    | 0
123   | statement_list                      | 120    | 122
124   | simple_statement                    | 122    | 0
125   | assignment_stmt                     | 124    | 0
126   | identifier                          | 125    | 0
127   | =                                   | 125    | 126
128   | expression                          | 125    | 127
129   | ;                                   | 125    | 128
130   | term                                | 128    | 0
131   | sign_and_expression                 | 128    | 130
132   | identifier                          | 130    | 0
133   | statement                           | 131    | 0
134   | statement_list                      | 131    | 133
135   | simple_statement                    | 133    | 0
136   | io_statement                        | 135    | 0
137   | print                               | 136    | 0
138   | (                                   | 136    | 137
139   | term                                | 136    | 138
140   | )                                   | 136    | 139
141   | ;                                   | 136    | 140
142   | identifier                          | 139    | 0
